snapshot_ts_utc,symbol,long_pct,short_pct,total_positions,long_positions,short_positions,long_volume_lots,short_volume_lots
2012-01-18T09:11:25Z,GBPUSD,43.0,56.0,9321,5354,3967,134549.24,177255.13
2012-01-18T09:11:25Z,USDCAD,53.0,46.0,1751,1219,532,55876.5,48048.79
2012-01-18T09:11:25Z,USDCHF,41.0,58.0,1487,873,614,17250.51,24621.51
2012-01-18T09:11:25Z,USDJPY,88.0,11.0,1756,1399,357,317042.38,40620.48
2012-02-06T10:00:09Z,AUDUSD,29.0,70.0,2462,740,1722,144958.29,347076.68
2012-02-06T10:00:09Z,EURCHF,97.0,2.0,3084,2346,738,227202.43,5603.13
2012-02-06T10:00:09Z,EURGBP,43.0,56.0,1732,1040,692,42641.1,55263.31
2012-02-06T10:00:09Z,EURJPY,79.0,20.0,1475,855,620,79481.79,20419.98
2012-02-06T10:00:09Z,EURUSD,58.0,41.0,9555,3835,5720,784721.42,555315.25
2012-02-06T10:00:09Z,GBPJPY,96.0,3.0,869,445,424,58828.7,2156.61
2012-02-06T10:00:09Z,GBPUSD,33.0,66.0,10653,2915,7738,78174.66,155500.17
2012-02-06T10:00:09Z,USDCAD,78.0,21.0,2387,1905,482,118432.89,32652.53
2012-02-06T10:00:09Z,USDCHF,88.0,11.0,1533,897,636,83108.72,10749.87
2012-02-06T10:00:09Z,USDJPY,95.0,4.0,2031,1419,612,345787.19,17859.72
2012-02-18T08:44:32Z,AUDUSD,49.0,50.0,2761,1276,1485,305167.96,316095.77
2012-02-18T08:44:32Z,EURCHF,99.0,0.0,3195,2408,787,491528.51,1848.15
2012-02-18T08:44:32Z,EURGBP,36.0,63.0,2143,890,1253,32151.45,55569.27
2012-02-18T08:44:32Z,EURJPY,36.0,63.0,1896,827,1069,54406.37,92942.59
