date,currency_pair,direction,amount_yen_billions,source_url
1994-10-17,USD/JPY,sell_JPY_buy_USD,61.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-10-19,USD/JPY,sell_JPY_buy_USD,45.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-10-21,USD/JPY,sell_JPY_buy_USD,38.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-10-25,USD/JPY,sell_JPY_buy_USD,9.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-11-01,USD/JPY,sell_JPY_buy_USD,9.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-11-02,USD/JPY,sell_JPY_buy_USD,105.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-11-03,USD/JPY,sell_JPY_buy_USD,49.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-02-17,USD/JPY,sell_JPY_buy_USD,40.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-02-20,USD/JPY,sell_JPY_buy_USD,22.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-02-23,USD/JPY,sell_JPY_buy_USD,15.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-02-24,USD/JPY,sell_JPY_buy_USD,32.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-02-27,USD/JPY,sell_JPY_buy_USD,6.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-01,USD/JPY,sell_JPY_buy_USD,18.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-02,USD/JPY,sell_JPY_buy_USD,48.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-03,USD/JPY,sell_JPY_buy_USD,108.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-06,USD/JPY,sell_JPY_buy_USD,116.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-07,USD/JPY,sell_JPY_buy_USD,27.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-09,USD/JPY,sell_JPY_buy_USD,18.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-13,USD/JPY,sell_JPY_buy_USD,75.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-14,USD/JPY,sell_JPY_buy_USD,40.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-15,USD/JPY,sell_JPY_buy_USD,70.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-16,USD/JPY,sell_JPY_buy_USD,62.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-17,USD/JPY,sell_JPY_buy_USD,49.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1995-03-20,USD/JPY,sell_JPY_buy_USD,13.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
